Account Name,Street,City,State or Province,Postal Code,Country,Latitude,Longitude,Phone,Annual Revenue,Number of Employees,Account Owner,AccountID,Industry Lookup,Territory,Region,AccountSeq,IndustrySeq,AccountOwnerSeq,Industry,Account Number
Lowe-Block,804 Lakeland Terrace,Sacramento,CA,95828,United States,38.4826,-121.4006,+1-916-622-6912,77000000,6100,Alicia Thomber,b59c505f-ef1e-eb11-a814-000d3a9c7ff2,n/a,US-WEST,North America,1057,0,11,n/a,AN-100058
"Abbott Group (New Orleans, Louisiana)",582 Mifflin Trail,Pasadena,CA,91186,United States,33.7866,-118.2987,+1-626-867-4467,91000000,6500,Alicia Thomber,6cddbce1-ef1e-eb11-a814-000d3a9c7ff2,Major Pharmaceuticals,US-WEST,North America,1064,22,11,Major Pharmaceuticals,AN-100065
"Kutch Inc (Isehara, Japan)",24 Esker Junction,Vancouver,WA,98664,United States,45.6231,-122.5767,+1-360-255-3896,89000000,4000,Alicia Thomber,da82f2f2-f81e-eb11-a814-000d3a9c7ff2,Diversified Commercial Services,US-WEST,North America,1066,9,11,Diversified Commercial Services,AN-100067
"Haley, Auer and Luettgen",6797 Vidon Park,Canton,OH,44760,United States,40.854,-81.4278,+1-234-214-2469,39000000,5200,Jeff Hay,bc4820d6-f21e-eb11-a814-000d3a9c7ff2,Packaged Foods,US-MIDWEST,North America,1067,32,3,Packaged Foods,AN-100068
"Casper, Carroll and Goldner",0 Dakota Drive,Saint Joseph,MO,64504,United States,39.7076,-94.8677,+1-816-992-2936,92000000,8000,Eric Gruber,e66b3713-e61e-eb11-a814-000d3a9c7ff2,n/a,US-MIDWEST,North America,1069,0,2,n/a,AN-100070
"Sawayn-Stroman (Catalina, Canada)",945 Grover Park,Denver,CO,80270,United States,39.7388,-104.4083,+1-303-811-4533,39000000,4400,Molly Clark,906962d6-f11e-eb11-a814-000d3a9c7ff2,Industrial Machinery/Components,US-WEST,North America,1070,16,1,Industrial Machinery/Components,AN-100071
Abbott Inc and Sons  (Arizona),7 School Road,Aurora,CO,80045,United States,39.7467,-104.8384,+1-303-281-8881,23000000,8000,Molly Clark,7c3e9c85-f11e-eb11-a814-000d3a9c7ff2,Property-Casualty Insurers,US-WEST,North America,1071,35,1,Property-Casualty Insurers,AN-100072
"Abbott Inc and Sons (Dallas, Texas)",97671 Maple Junction,Phoenix,AZ,85072,United States,33.2765,-112.1872,+1-602-572-3616,96000000,10000,Molly Clark,73040c37-e61e-eb11-a814-000d3a9c7ff2,Major Pharmaceuticals,US-WEST,North America,1072,22,1,Major Pharmaceuticals,AN-100073
"Wolf Inc (Boston, Massachusetts)",77075 East Crossing,Columbus,OH,43226,United States,39.969,-83.0114,+1-614-701-4959,100000000,3800,Eric Gruber,d279e205-f31e-eb11-a814-000d3a9c7ff2,Major Chemicals,US-MIDWEST,North America,1074,21,2,Major Chemicals,AN-100075
"Gislason, D'Amore and Larson",54 Bartillon Center,Phoenix,AZ,85010,United States,33.2765,-112.1872,+1-602-283-7035,90000000,9600,Molly Clark,9bbfda0b-f31e-eb11-a814-000d3a9c7ff2,Food Distributors,US-WEST,North America,1076,12,1,Food Distributors,AN-100077
"Abbott Inc and Sons (Sacramento, California)",5 Grover Junction,South Bend,IN,46614,United States,41.6255,-86.2433,+1-574-978-6760,32000000,8500,Jeff Hay,e251c9c5-e51e-eb11-a814-000d3a9c7ff2,n/a,US-MIDWEST,North America,1084,0,3,n/a,AN-100085
Senger-Goodwin,18 Prentice Point,New York City,NY,10110,United States,40.754,-73.9808,+1-212-814-7986,98000000,7200,Julian Isla,ead954f0-f31e-eb11-a814-000d3a9c7ff2,Home Furnishings,US-NORTHEAST,North America,1087,14,4,Home Furnishings,AN-100088
Heathcote-Stanton,1698 Waywood Center,Phoenix,AZ,85010,United States,33.2765,-112.1872,+1-602-283-9825,74000000,9300,Molly Clark,a9df8717-f01e-eb11-a814-000d3a9c7ff2,Major Pharmaceuticals,US-WEST,North America,1088,22,1,Major Pharmaceuticals,AN-100089
"Dietrich Group (West Kelowna, Canada)",966 Buena Vista Hill,San Diego,CA,92176,United States,33.0169,-116.846,+1-619-504-1856,150000000,6900,Alicia Thomber,cad5633b-e71e-eb11-a814-000d3a9c7ff2,Biotechnology: Commercial Physical & Biological Resarch,US-WEST,North America,1089,3,11,Biotechnology: Commercial Physical & Biological Resarch,AN-100090
"Abbott Inc and Sons (Houston, Texas)",545 American Ash Trail,Albuquerque,NM,87115,United States,35.0549,-106.5461,+1-505-680-9469,31000000,8000,Molly Clark,51ca31b0-de1e-eb11-a814-000d3a9c7ff2,Major Chemicals,US-WEST,North America,1105,21,1,Major Chemicals,AN-100106
Breitenberg-Kshlerin,54508 Bunker Hill Junction,Bakersfield,CA,93386,United States,35.2944,-118.9052,+1-661-719-5102,72000000,7700,Alicia Thomber,6be1bda8-f61e-eb11-a814-000d3a9c7ff2,Major Pharmaceuticals,US-WEST,North America,1106,22,11,Major Pharmaceuticals,AN-100107
"Kuvalis Group (Edmond, Oklahoma)",2710 Golf Lane,Minneapolis,MN,55428,United States,45.0632,-93.3811,+1-612-105-7614,68000000,6500,Eric Gruber,180cb237-f11e-eb11-a814-000d3a9c7ff2,Medical/Dental Instruments,US-MIDWEST,North America,1110,25,2,Medical/Dental Instruments,AN-100111
"Ernser, Schiller and Crist",12594 Homewood Alley,Springfield,OH,45505,United States,39.9106,-83.7856,+1-937-217-9852,16000000,8000,Eric Gruber,fae5a310-f71e-eb11-a814-000d3a9c7ff2,n/a,US-MIDWEST,North America,1111,0,2,n/a,AN-100112
"Kuphal, Frami and Heathcote",3 High Crossing Point,Columbus,OH,43284,United States,39.969,-83.0114,+1-614-917-8187,47000000,7500,Jeff Hay,262a02be-e21e-eb11-a814-000d3a9c7ff2,n/a,US-MIDWEST,North America,1113,0,3,n/a,AN-100114
"Ankunding Inc (Toulouse, France)",4 Scoville Road,Wichita,KS,67236,United States,37.5422,-97.2871,+1-316-251-8927,27000000,4700,Eric Gruber,0e0a7940-f71e-eb11-a814-000d3a9c7ff2,EDP Services,US-MIDWEST,North America,1117,10,2,EDP Services,AN-100118
"Gerlach Inc (Frontignan, France)",01 Novick Plaza,Cincinnati,OH,45254,United States,39.1668,-84.5382,+1-513-100-9158,38000000,9100,Eric Gruber,954fe108-ed1e-eb11-a814-000d3a9c7ff2,Major Pharmaceuticals,US-MIDWEST,North America,1121,22,2,Major Pharmaceuticals,AN-100122
"Botsford-Klocko (Oxford, Canada)",14142 Mifflin Trail,Phoenix,AZ,85025,United States,33.4226,-111.7236,+1-623-846-8876,76000000,4600,Molly Clark,ac1207e3-f71e-eb11-a814-000d3a9c7ff2,Recreational Products/Toys,US-WEST,North America,1125,38,1,Recreational Products/Toys,AN-100126
"Abbott Inc and Sons (Denver, Colorado)",3192 Spenser Way,Springfield,IL,62705,United States,39.7495,-89.606,+1-217-952-8831,88000000,8400,Jeff Hay,5ce3e512-f81e-eb11-a814-000d3a9c7ff2,Investment Managers,US-MIDWEST,North America,1128,18,3,Investment Managers,AN-100129
"Abbott Inc and Sons (Colorado Springs, Colorado)",47860 Kings Plaza,Chicago,IL,60674,United States,41.8119,-87.6873,+1-312-940-4276,97000000,9200,Eric Gruber,a5bcccb9-e51e-eb11-a814-000d3a9c7ff2,n/a,US-MIDWEST,North America,1129,0,2,n/a,AN-100130
"Barrows, Gerhold and Toy",4 Toban Street,Bloomington,IN,47405,United States,39.1682,-86.5186,+1-812-659-3390,100000000,5800,Eric Gruber,2167fac3-e21e-eb11-a814-000d3a9c7ff2,Biotechnology: Commercial Physical & Biological Resarch,US-MIDWEST,North America,1130,3,2,Biotechnology: Commercial Physical & Biological Resarch,AN-100131
"Bogisich-Ledner (Shizunai-furukawach?, Japan)",0270 Mesta Center,Boise,ID,83732,United States,43.4599,-116.244,+1-208-821-5470,87000000,8900,Alicia Thomber,a040ec84-f61e-eb11-a814-000d3a9c7ff2,Computer Software: Prepackaged Software,US-WEST,North America,1131,7,11,Computer Software: Prepackaged Software,AN-100132
"Stamm-Hodkiewicz (Créteil, France)",34703 Darwin Court,Young America,MN,55557,United States,44.8055,-93.7665,+1-952-517-2661,44000000,5400,Jeff Hay,b15743ef-e61e-eb11-a814-000d3a9c7ff2,Precious Metals,US-MIDWEST,North America,1132,34,3,Precious Metals,AN-100133
Hammes-Fahey,01877 Bashford Lane,White Plains,NY,10633,United States,41.119,-73.733,+1-845-516-0801,85000000,4800,Julian Isla,fd5881be-f11e-eb11-a814-000d3a9c7ff2,Major Pharmaceuticals,US-NORTHEAST,North America,1135,22,4,Major Pharmaceuticals,AN-100136
"Hirthe Group (Montreuil, France)",1 Algoma Crossing,Kansas City,MO,64109,United States,39.0663,-94.5674,+1-816-667-6363,94000000,5600,Eric Gruber,995d31cf-f51e-eb11-a814-000d3a9c7ff2,Water Supply,US-MIDWEST,North America,1137,44,2,Water Supply,AN-100138
"Sipes-Beatty (Chantilly, France)",6960 Westend Avenue,Ogden,UT,84409,United States,41.2553,-111.9567,+1-801-796-6462,64000000,6500,Alicia Thomber,450fe3fe-f81e-eb11-a814-000d3a9c7ff2,Real Estate,US-WEST,North America,1140,36,11,Real Estate,AN-100141
Abbott LLC  (Hawaii),0 Hooker Crossing,Chicago,IL,60674,United States,41.8119,-87.6873,+1-312-866-0694,52000000,7600,Eric Gruber,972b02be-e21e-eb11-a814-000d3a9c7ff2,Major Pharmaceuticals,US-MIDWEST,North America,1141,22,2,Major Pharmaceuticals,AN-100142
"Zboncak, Wintheiser and Grimes",1227 Evergreen Drive,Detroit,MI,48258,United States,42.2399,-83.1508,+1-734-168-5584,29000000,6400,Jeff Hay,05306f9f-f51e-eb11-a814-000d3a9c7ff2,Air Freight/Delivery Services,US-MIDWEST,North America,1145,1,3,Air Freight/Delivery Services,AN-100146
"Batz, Muller and Frami",31044 Sloan Terrace,Topeka,KS,66611,United States,39.0142,-95.6982,+1-785-732-0462,48000000,4500,Eric Gruber,0b3bfc7c-f81e-eb11-a814-000d3a9c7ff2,Oil & Gas Production,US-MIDWEST,North America,1148,27,2,Oil & Gas Production,AN-100149
"Block, Kovacek and Fadel",041 Laurel Way,North Las Vegas,NV,89087,United States,36.2204,-115.1458,+1-702-113-8044,30000000,6300,Alicia Thomber,6ca77e93-f51e-eb11-a814-000d3a9c7ff2,Real Estate,US-WEST,North America,1158,36,11,Real Estate,AN-100159
"Erdman, Hammes and Gutkowski",234 Graceland Lane,Los Angeles,CA,90081,United States,33.7866,-118.2987,+1-213-256-7665,49000000,9000,Alicia Thomber,604262d7-e61e-eb11-a814-000d3a9c7ff2,Savings Institutions,US-WEST,North America,1161,40,11,Savings Institutions,AN-100162
"Macejkovic, Hermann and Doyle",17893 4th Lane,Saint Paul,MN,55114,United States,44.968,-93.1981,+1-651-563-6613,57000000,8500,Eric Gruber,8247e108-ed1e-eb11-a814-000d3a9c7ff2,Transportation Services,US-MIDWEST,North America,1162,43,2,Transportation Services,AN-100163
Wehner-Oberbrunner,68766 Tomscot Junction,Salem,OR,97306,United States,44.8685,-123.0438,+1-503-521-0671,89000000,9700,Alicia Thomber,89aaba26-ed1e-eb11-a814-000d3a9c7ff2,Food Distributors,US-WEST,North America,1165,12,11,Food Distributors,AN-100166
Klein-Bogisich,8 Sunnyside Terrace,Saint Louis,MO,63143,United States,38.6111,-90.3225,+1-314-483-2916,54000000,3700,Jeff Hay,98c1dc90-f61e-eb11-a814-000d3a9c7ff2,n/a,US-MIDWEST,North America,1173,0,3,n/a,AN-100174
Abbott LLC  (District of Columbia),84192 Memorial Center,Oxnard,CA,93034,United States,34.0324,-119.1343,+1-805-206-7233,36000000,9300,Alicia Thomber,a83a1994-e21e-eb11-a814-000d3a9c7ff2,Telecommunications Equipment,US-WEST,North America,1193,42,11,Telecommunications Equipment,AN-100194
"Vandervort Group (Toulouse, France)",80 Kensington Street,Rochester,NY,14614,United States,43.1558,-77.6142,+1-585-504-4775,90000000,5100,Julian Isla,1e02145b-f61e-eb11-a814-000d3a9c7ff2,Forest Products,US-NORTHEAST,North America,1198,13,4,Forest Products,AN-100199
"Cremin Inc (Aix-en-Provence, France)",5535 Golf Course Court,Philadelphia,PA,19120,United States,40.0343,-75.1213,+1-267-861-8125,28000000,9600,Julian Isla,79618ab7-e41e-eb11-a814-000d3a9c7ff2,Specialty Foods,US-NORTHEAST,North America,1200,41,4,Specialty Foods,AN-100201
"Abbott, Abshire and Eichmann",94 Golf Course Way,Springfield,IL,62705,United States,39.7495,-89.606,+1-217-382-4171,44000000,3500,Eric Gruber,59900ea0-e21e-eb11-a814-000d3a9c7ff2,Oil/Gas Transmission,US-MIDWEST,North America,1203,28,2,Oil/Gas Transmission,AN-100204
"Abbott, Ankunding and Kreiger",37690 Shasta Crossing,Dayton,OH,45432,United States,39.739,-84.0856,+1-937-190-3349,53000000,10000,Eric Gruber,390cf5be-f71e-eb11-a814-000d3a9c7ff2,"Computer Software: Programming, Data Processing",US-MIDWEST,North America,1204,8,2,"Computer Software: Programming, Data Processing",AN-100205
"Abbott, Bartell and Sanford",12749 Veith Crossing,Sacramento,CA,94230,United States,38.3774,-121.4444,+1-916-427-6310,41000000,3600,Alicia Thomber,fa2a00f1-ec1e-eb11-a814-000d3a9c7ff2,Business Services,US-WEST,North America,1206,4,11,Business Services,AN-100207
"Abbott, Beatty and Haley",23672 Summerview Pass,Fresno,CA,93740,United States,36.7464,-119.6397,+1-559-601-4115,46000000,7900,Alicia Thomber,0ce46a1d-de1e-eb11-a814-000d3a9c7ff2,Home Furnishings,US-WEST,North America,1208,14,11,Home Furnishings,AN-100209
"Abbott, Berge and Mueller",414 Cascade Place,Des Moines,IA,50981,United States,41.6727,-93.5722,+1-515-429-0925,66000000,8900,Jeff Hay,8bde09b8-e21e-eb11-a814-000d3a9c7ff2,Real Estate,US-MIDWEST,North America,1212,36,3,Real Estate,AN-100213
"Abbott, Berge and Toy",53 Lunder Plaza,Santa Fe,NM,87592,United States,35.5212,-105.9818,+1-505-651-9267,6000000,8000,Molly Clark,af73d8fe-f41e-eb11-a814-000d3a9c7ff2,Savings Institutions,US-WEST,North America,1213,40,1,Savings Institutions,AN-100214
"Abbott, Bins and Murazik",6 Morningstar Way,New York City,NY,10203,United States,40.7808,-73.9772,+1-212-465-3965,89000000,4000,Julian Isla,4dbd0f18-f21e-eb11-a814-000d3a9c7ff2,Precious Metals,US-NORTHEAST,North America,1216,34,4,Precious Metals,AN-100217
"Abbott, Brakus and Quitzon",2444 Old Shore Lane,Trenton,NJ,8608,United States,40.2204,-74.7622,+1-609-278-1870,23000000,8000,Julian Isla,9ed4a948-f81e-eb11-a814-000d3a9c7ff2,Real Estate Investment Trusts,US-NORTHEAST,North America,1221,37,4,Real Estate Investment Trusts,AN-100222
"Abbott, Brekke and Blanda",3 Melody Terrace,Denver,CO,80235,United States,39.6472,-105.0795,+1-303-687-2959,100000000,3800,Molly Clark,974b50b7-f51e-eb11-a814-000d3a9c7ff2,Investment Managers,US-WEST,North America,1224,18,1,Investment Managers,AN-100225
"Abbott, Cummerata and Cartwright",2 Westend Lane,Philadelphia,PA,19093,United States,40.0018,-75.1179,+1-215-854-6972,17000000,5300,Julian Isla,dd79d4b3-e51e-eb11-a814-000d3a9c7ff2,Precious Metals,US-NORTHEAST,North America,1229,34,4,Precious Metals,AN-100230
"Abbott, Daniel and Koch",554 Forest Run Park,Colorado Springs,CO,80915,United States,38.8558,-104.7134,+1-719-214-8983,46000000,4000,Molly Clark,ca0b6ad1-e61e-eb11-a814-000d3a9c7ff2,Packaged Foods,US-WEST,North America,1233,32,1,Packaged Foods,AN-100234
"Abbott, Denesik and West",1 Columbus Court,Evansville,IN,47725,United States,38.1071,-87.5256,+1-812-274-4321,32000000,8500,Eric Gruber,8f4fcd9c-f61e-eb11-a814-000d3a9c7ff2,"Computer Software: Programming, Data Processing",US-MIDWEST,North America,1234,8,2,"Computer Software: Programming, Data Processing",AN-100235
"Abbott, Effertz and Huel",42 Mallory Road,Philadelphia,PA,19125,United States,39.9788,-75.1262,+1-215-164-3275,56000000,3300,Julian Isla,f37ff8f6-ec1e-eb11-a814-000d3a9c7ff2,Transportation Services,US-NORTHEAST,North America,1242,43,4,Transportation Services,AN-100243
"Abbott, Frami and Bednar",0 Lindbergh Parkway,Springfield,MA,1114,United States,42.1707,-72.6048,+1-413-565-5917,15000000,4000,Julian Isla,93cf0ef0-f01e-eb11-a814-000d3a9c7ff2,Diversified Commercial Services,US-NORTHEAST,North America,1247,9,4,Diversified Commercial Services,AN-100248
"Abbott, Gorczany and D'Amore",3977 Farragut Way,Omaha,NE,68124,United States,41.2338,-96.0495,+1-402-295-5624,75000000,5500,Eric Gruber,91cc4ed7-f61e-eb11-a814-000d3a9c7ff2,Automotive Aftermarket,US-MIDWEST,North America,1253,2,2,Automotive Aftermarket,AN-100254
"Abbott, Goyette and Gerlach",77710 Morrow Way,Columbus,OH,43220,United States,40.0495,-83.0669,+1-614-727-4654,72000000,7700,Jeff Hay,d38216ea-f01e-eb11-a814-000d3a9c7ff2,Oilfield Services/Equipment,US-MIDWEST,North America,1256,29,3,Oilfield Services/Equipment,AN-100257
"Abbott, Greenholt and Turner",0908 Dahle Center,Santa Barbara,CA,93111,United States,34.4453,-119.8025,+1-702-697-7222,47000000,7500,Alicia Thomber,bcafcb2a-f81e-eb11-a814-000d3a9c7ff2,Property-Casualty Insurers,US-WEST,North America,1263,35,11,Property-Casualty Insurers,AN-100264
"Abbott, Grimes and Schowalter",3 Farmco Terrace,Carol Stream,IL,60158,United States,41.9166,-88.1208,+1-309-201-3079,19000000,6100,Eric Gruber,d824ed4e-e61e-eb11-a814-000d3a9c7ff2,Life Insurance,US-MIDWEST,North America,1264,19,2,Life Insurance,AN-100265
"Abbott, Gulgowski and Bogan",917 6th Street,Aurora,IL,60505,United States,41.7582,-88.2971,+1-630-634-8655,18000000,4200,Eric Gruber,feb082bd-e41e-eb11-a814-000d3a9c7ff2,Integrated oil Companies,US-MIDWEST,North America,1265,17,2,Integrated oil Companies,AN-100266
"Abbott, Hahn and Schumm",27172 Bobwhite Avenue,Springfield,OH,45505,United States,39.9106,-83.7856,+1-937-240-4926,24000000,3600,Jeff Hay,15fec036-f81e-eb11-a814-000d3a9c7ff2,Major Chemicals,US-MIDWEST,North America,1268,21,3,Major Chemicals,AN-100269
"Abbott, Hahn and Steuber",5 Hoard Place,Saint Louis,MO,63167,United States,38.6383,-90.4271,+1-314-308-2276,38000000,7100,Eric Gruber,e1c8eaf8-f81e-eb11-a814-000d3a9c7ff2,Medical/Dental Instruments,US-MIDWEST,North America,1269,25,2,Medical/Dental Instruments,AN-100270
"Abbott, Hammes and Kohler",94 Mallard Circle,Fort Wayne,IN,46814,United States,41.0456,-85.3058,+1-260-756-4305,62000000,9100,Eric Gruber,2c16b5e7-ef1e-eb11-a814-000d3a9c7ff2,Air Freight/Delivery Services,US-MIDWEST,North America,1273,1,2,Air Freight/Delivery Services,AN-100274
"Abbott, Hartmann and Rempel",55888 Waywood Avenue,New York City,NY,10079,United States,40.7808,-73.9772,+1-212-721-7477,180000000,9700,Julian Isla,31a24a64-f71e-eb11-a814-000d3a9c7ff2,Oilfield Services/Equipment,US-NORTHEAST,North America,1276,29,4,Oilfield Services/Equipment,AN-100277
"Abbott, Hegmann and Greenholt",60057 Carberry Terrace,Norwalk,CT,6854,United States,41.0957,-73.4285,+1-203-811-3348,88000000,8400,Julian Isla,a3788b23-f01e-eb11-a814-000d3a9c7ff2,Electric Utilities: Central,US-NORTHEAST,North America,1278,11,4,Electric Utilities: Central,AN-100279
"Abbott, Heller and Kulas",33 Orin Court,Pocatello,ID,83206,United States,42.6395,-112.3138,+1-208-228-8085,100000000,5800,Alicia Thomber,7de28d2e-f71e-eb11-a814-000d3a9c7ff2,Air Freight/Delivery Services,US-WEST,North America,1280,1,11,Air Freight/Delivery Services,AN-100281
"Abbott, Hermiston and Reynolds",92223 Beilfuss Point,Denver,CO,80299,United States,39.7388,-104.4083,+1-303-257-4647,19000000,7800,Molly Clark,27bd3bf4-f11e-eb11-a814-000d3a9c7ff2,Business Services,US-WEST,North America,1283,4,1,Business Services,AN-100284
"Abbott, Hodkiewicz and Smith",29184 Mariners Cove Park,Pittsburgh,PA,15230,United States,40.4344,-80.0248,+1-412-825-9664,122000000,9100,Julian Isla,c5a5d916-f91e-eb11-a814-000d3a9c7ff2,Clothing/Shoe/Accessory Stores,US-NORTHEAST,North America,1288,5,4,Clothing/Shoe/Accessory Stores,AN-100289
"Abbott, Jacobs and Emmerich",9766 Glendale Parkway,Seattle,WA,98185,United States,47.4323,-121.8034,+1-206-996-0880,158000000,8100,Alicia Thomber,fb1ca2b4-f31e-eb11-a814-000d3a9c7ff2,Real Estate,US-WEST,North America,1294,36,11,Real Estate,AN-100295
"Abbott, Jakubowski and Hermann",10 Clyde Gallagher Plaza,Cedar Rapids,IA,52410,United States,42.0794,-91.5992,+1-319-925-7369,29000000,6400,Jeff Hay,85821067-f61e-eb11-a814-000d3a9c7ff2,Forest Products,US-MIDWEST,North America,1295,13,3,Forest Products,AN-100296
"Abbott, Johnson and Boyer",131 American Ash Drive,Whittier,CA,90610,United States,33.7866,-118.2987,+1-562-841-9323,48000000,4500,Alicia Thomber,13c3da0b-f31e-eb11-a814-000d3a9c7ff2,Home Furnishings,US-WEST,North America,1298,14,11,Home Furnishings,AN-100299
Abbott Group  (Idaho),094 Milwaukee Center,Palpalá,,4612,Argentina,-31.4561755,-64.2111608,+54-561-541-4597,88000000,1700,Greg Winston,a4575859-ef1e-eb11-a814-000d3a9c7ff2,n/a,Argentina,LATAM,1010,0,13,n/a,AN-100011
"Smith-Nicolas (Iwase, Japan)",99 Cardinal Place,Marcos Juárez,,2580,Argentina,-34.9044677,-58.5743103,+54-215-347-5053,178000000,7300,Greg Winston,4307c90a-f51e-eb11-a814-000d3a9c7ff2,"Computer Software: Programming, Data Processing",Argentina,LATAM,1012,8,13,"Computer Software: Programming, Data Processing",AN-100013
Abbott Group  (Minnesota),65093 Debra Point,Chamical,,4608,Argentina,-31.4411018,-64.1257463,+54-139-885-9693,25000000,9300,Greg Winston,fcc9d114-ed1e-eb11-a814-000d3a9c7ff2,Major Pharmaceuticals,Argentina,LATAM,1014,22,13,Major Pharmaceuticals,AN-100015
"Wilkinson and Sons (Kiuruvesi, Finland)",06 Mifflin Junction,San Jorge,,5117,Argentina,-34.6098701,-58.5668231,+54-865-792-9859,96000000,2900,Greg Winston,ec7e43ee-f11e-eb11-a814-000d3a9c7ff2,Business Services,Argentina,LATAM,1016,4,13,Business Services,AN-100017
"Terry Inc (Romorantin-Lanthenay, France)",0 Stang Point,Ceres,,2340,Argentina,-32.9578112,-60.6682209,+54-978-848-6928,51000000,3000,Greg Winston,42ded114-ed1e-eb11-a814-000d3a9c7ff2,Restaurants,Argentina,LATAM,1019,39,13,Restaurants,AN-100020
Abbott Group  (Arizona),5 Dottie Hill,Daireaux,,6555,Argentina,-37.9595992,-57.5629395,+54-113-687-0156,45000000,2400,Greg Winston,fa475c85-e41e-eb11-a814-000d3a9c7ff2,Major Banks,Argentina,LATAM,1020,20,13,Major Banks,AN-100021
"Toy, Friesen and Rath",78235 Northridge Park,Bernardo Larroudé,,6220,Argentina,-35.0234334,-63.5803937,+54-929-736-5925,51000000,3000,Greg Winston,2658970b-f01e-eb11-a814-000d3a9c7ff2,Packaged Foods,Argentina,LATAM,1021,32,13,Packaged Foods,AN-100022
"Kutch Group (Lloydminster, Canada)",9818 Corscot Alley,Bastos,,17690-000,Brazil,-21.9221397,-50.7317774,+55-293-869-6574,41000000,2000,Greg Winston,e4665964-f31e-eb11-a814-000d3a9c7ff2,Major Pharmaceuticals,Brazil,LATAM,1022,22,13,Major Pharmaceuticals,AN-100023
"Kohler, Buckridge and McKenzie",34875 Eagan Junction,Butiá,,96750-000,Brazil,-30.1180899,-51.9615457,+55-517-525-8108,20000000,5100,Greg Winston,2c6faa75-df1e-eb11-a814-000d3a9c7ff2,Computer Software: Prepackaged Software,Brazil,LATAM,1028,7,13,Computer Software: Prepackaged Software,AN-100029
"Parker, Johns and Harvey",1488 Village Crossing,Vargem Grande do Sul,,13880-000,Brazil,-21.8324773,-46.8925845,+55-694-288-7201,75000000,1600,Greg Winston,747ac1cb-e51e-eb11-a814-000d3a9c7ff2,n/a,Brazil,LATAM,1033,0,13,n/a,AN-100034
"Weimann, Batz and Gislason",27049 Sommers Circle,Maringá,,87000-000,Brazil,-23.4209995,-51.9330558,+55-384-650-9111,39000000,2600,Greg Winston,bb8295f8-f61e-eb11-a814-000d3a9c7ff2,Major Banks,Brazil,LATAM,1034,20,13,Major Banks,AN-100035
"Keebler LLC (Midland, Texas)",6 Manley Road,Jacupiranga,,11940-000,Brazil,-24.7023134,-48.0076188,+55-513-574-3207,39000000,2600,Greg Winston,b491a1a5-e41e-eb11-a814-000d3a9c7ff2,Marine Transportation,Brazil,LATAM,1036,23,13,Marine Transportation,AN-100037
Hodkiewicz-Runte,0955 Hollow Ridge Place,Vihti,,3400,Finland,60.4165735,24.3256379,+358-537-556-2271,38000000,5700,Anne Weiler,4546c9c5-e51e-eb11-a814-000d3a9c7ff2,n/a,Finland,EMEA,1039,0,12,n/a,AN-100040
"Beahan LLC (Tanabe, Japan)",67 Southridge Alley,Levallois-Perret,A8,92592 CEDEX,France,49.2272998,2.8814002,+33-821-465-6642,173000000,6300,Anne Weiler,2ea98c22-f71e-eb11-a814-000d3a9c7ff2,Real Estate Investment Trusts,France,EMEA,1040,37,12,Real Estate Investment Trusts,AN-100041
Farrell-O'Conner,8903 Dexter Pass,Viradouro,,14740-000,Brazil,-20.8740173,-48.299098,+55-370-229-7255,99000000,2300,Greg Winston,2dc0c830-f81e-eb11-a814-000d3a9c7ff2,Life Insurance,Brazil,LATAM,1042,19,13,Life Insurance,AN-100043
"Hodkiewicz, Blanda and Bechtelar",54 Farwell Street,Rengo,,,Chile,-34.4023791,-70.8674411,+56-272-785-2755,89000000,1800,Greg Winston,bd120173-f61e-eb11-a814-000d3a9c7ff2,n/a,Chile,LATAM,1044,0,13,n/a,AN-100045
"Wunsch LLC (Drammen, Norway)",6886 Elmside Plaza,Pessac,97,33604 CEDEX,France,44.8055893,-0.630617,494-308-5824,127000000,8300,Anne Weiler,a8a13971-ef1e-eb11-a814-000d3a9c7ff2,Restaurants,France,EMEA,1046,39,12,Restaurants,AN-100047
"Brakus-Greenfelder (Montgomery, Alabama)",76289 Morning Crossing,Dijon,A1,21019 CEDEX,France,45.2977605,2.5135985,435-893-3172,94000000,9300,Anne Weiler,f9821067-f61e-eb11-a814-000d3a9c7ff2,Restaurants,France,EMEA,1050,39,12,Restaurants,AN-100051
"Jacobi, Powlowski and Rogahn",3910 Dapin Street,Saint-Lambert-de-Lauzon,QC,V6L,Canada,46.58624,-71.20892,+1-547-353-0676,107000000,6200,Alan Steiner,3eab4a64-f71e-eb11-a814-000d3a9c7ff2,Major Banks,Canada,North America,1052,20,10,Major Banks,AN-100053
Abbott Group  (South Africa),94099 Main Plaza,Aubervilliers,A8,93321 CEDEX,France,48.9124688,2.3977418,322-117-3862,173000000,1500,Anne Weiler,d43099f9-dd1e-eb11-a814-000d3a9c7ff2,Forest Products,France,EMEA,1055,13,12,Forest Products,AN-100056
"Bayer-Keeling (Oslo, Norway)",09 Parkside Street,Saint-André-Avellin,QC,T5Y,Canada,45.7168,-75.06599,+1-338-521-4156,46000000,7900,Alan Steiner,fd7279c5-e61e-eb11-a814-000d3a9c7ff2,Air Freight/Delivery Services,Canada,North America,1058,1,10,Air Freight/Delivery Services,AN-100059
